;name;point
106;6974 Grand Caillou Road;(29.407785, -90.700616, 0.0)
107;2867 Grand Chenier Highway;(29.767308, -92.976443, 0.0)
108;442 Martin Luther King Drive;(32.609165, -93.282261, 0.0)
109;Falkenborgvegen 37;(63.434549, 10.462075, 0.0)
110;Falkenborgvegen 37;(63.434549, 10.462075, 0.0)
111;501 Anson Street;(29.928367, -90.053383, 0.0)
112;414 Main Street;(32.463606, -91.492968, 0.0)
113;405 South Oak Street;(30.500684, -90.461032, 0.0)
114;2975 East Thomas Lane;(47.711934, -116.746346, 0.0)
115;1008 Nina Highway;(30.311513, -91.82308, 0.0)
116;10042 Highway 1045;(30.729242, -90.565678, 0.0)
117;168 Powell Road;(42.464414, -72.960251, 0.0)
118;600 Wood Street;(29.594135, -90.721146, 0.0)
119;56292 Highway 445;(30.6734756, -90.3325478, 0.0)
120;Laos;(18.0, 105.0, 0.0)
121;113 Calhoun Street;(32.31469, -90.209041, 0.0)
122;100 Mulberry Street;(37.247297, -95.706698, 0.0)
123;4723-B Main Hwy Highway;(30.231167, -91.876151, 0.0)
124;8874 La Hwy 418;(30.87774, -91.678006, 0.0)
125;210 South 1st Street;(30.330064, -92.496507, 0.0)
126;116 Duson Avenue;(30.330945, -92.494725, 0.0)
127;18403 Hwy 157;(32.915011, -93.692178, 0.0)
128;1 Po Box;(44.119226, -97.21545, 0.0)
129;1437 Main Street;(29.915238, -91.668263, 0.0)
130;St Mary's Catholic Church;(-43.066939, 147.255047, 0.0)
131;5396 Pine Island Highway;(30.3498757, -92.7189464, 0.0)
132;Highway 84 & US Highway 84;(32.525568, -100.666742, 0.0)
133;501 North Cushing Avenue;(30.00169, -92.28406, 0.0)
134;808 2nd Avenue;(32.003431, -80.846166, 0.0)
135;521 Hemlock Street;(30.070585, -90.496191, 0.0)
136;2709 North Highway 1;(33.896201, -118.396227, 0.0)
137;Lacombe Fire Department;(52.462934, -113.734691, 0.0)
138;300 East Vermilion Street;(30.22389, -92.016958, 0.0)
139;300 East Vermilion Street;(30.22389, -92.016958, 0.0)
140;300 East Vermilion Street;(30.22389, -92.016958, 0.0)
141;142 Park Avenue;(30.232089, -92.007229, 0.0)
142;;
143;Cl Llucmajor 45;(39.560447, 2.674483, 0.0)
144;175 Lafourche Crsg;(31.146965, -81.567896, 0.0)
145;102 Saint Philip Street;(30.094812, -90.996288, 0.0)
146;North Leon Drive & Roland;(29.708053, -90.487694, 0.0)
147;Lake Cove;(34.960625, -90.073529, 0.0)
148;West Main Street & West 68th Street;(29.521998, -90.334729, 0.0)
149;17462 Main Street;(44.091248, -91.342462, 0.0)
150;;
151;3748 LA Hwy 3059;(30.287427, -93.166918, 0.0)
152;79029 Hwy 437;(30.578375, -90.076019, 0.0)
153;101 West Lee Street;(47.631107, -122.358136, 0.0)
154;19000 Highway 13 Highway;(39.70361, -107.934146, 0.0)
155;Highway 31 & Hwy 31;(50.195926, -116.960138, 0.0)
156;4588 Highway 56;(29.516065, -90.592456, 0.0)
157;3093 Highway 57 Highway;(33.528252, -93.079945, 0.0)
158;29778 South Montpelier Avenue;(30.50103, -90.582503, 0.0)
159;3496 La Hwy 78;(30.567722, -91.548783, 0.0)
160;806 Crescent Avenue;(38.478501, -100.919854, 0.0)
161;20032 Firehouse Road;(30.6375313, -90.3977486, 0.0)
162;Ranheimsfjæra 119;(63.430307, 10.525362, 0.0)
163;Laos;(18.0, 105.0, 0.0)
164;67 St Anthony Street;(42.400261, -82.169096, 0.0)
165;Laos;(18.0, 105.0, 0.0)
166;2014 Hwy 71 South;(31.090416, -92.396716, 0.0)
167;402 Cedar Street;(31.565857, -91.433996, 0.0)
168;121 Main Street;(30.451525, -91.190128, 0.0)
169;3101 East Causeway Approach;(30.373714, -90.078361, 0.0)
170;1832 Chemin De l'Eglise;(49.100014, 0.279041, 0.0)
171;10660 2nd Street;(32.858969, -116.96608, 0.0)
172;398 Main Street;(37.377983, -122.117708, 0.0)
173;118 Marlow Road;(-43.516281, 172.708076, 0.0)
174;531 Avenue C;(29.901176, -90.095631, 0.0)
175;38021 Hwy 22 Highway;(30.128985, -90.970977, 0.0)
176;;
177;9124 Romules Road;(30.0200812, -92.2081102, 0.0)
178;5248 Mire Highway;(30.29366, -92.1935, 0.0)
179;1105 Highway 55;(29.481415, -90.554346, 0.0)
180;632 Highway 665;(29.504239, -90.53693, 0.0)
181;1105 Highway 55;(29.481415, -90.554346, 0.0)
182;328 Main Street;(30.579326, -91.168756, 0.0)
183;1307 Victor II Boulevard;(29.7028676, -91.1977645, 0.0)
184;1307 Victor II Boulevard;(29.7028676, -91.1977645, 0.0)
185;401 City Park Avenue;(29.983536, -90.107154, 0.0)
186;Fire Station Road;(30.544693, -90.480083, 0.0)
187;Laos;(18.0, 105.0, 0.0)
188;Laos;(18.0, 105.0, 0.0)
189;Laos;(18.0, 105.0, 0.0)
190;701 Rosedale Drive;(29.98489, -90.109118, 0.0)
191;New Orleans Fire Department Training Division;(30.018969, -89.92923, 0.0)
192;Nine Mile Point Road & West Nine Mile Point Road;(29.917875, -90.16632, 0.0)
193;River Road & Old River Road;(30.30198, -93.077824, 0.0)
194;1523 Oak Grove Highway;(29.781124, -93.06746, 0.0)
195;589 B Stanford Hollow Road;(29.693281, -99.773986, 0.0)
196;1 Po Box;(44.119226, -97.21545, 0.0)
197;52 Oak Park Drive;(30.441224, -90.208554, 0.0)
198;115 North 10th Street;(43.139007, -93.376413, 0.0)
199;165 Us Highway 46;(40.890173, -74.097322, 0.0)
200;1357 S Union Street;(39.294611, -119.657825, 0.0)
201;6074 Highway 1;(45.057149, -64.634538, 0.0)
202;Laos;(19.43535, 102.560667, 0.0)
203;1306 Main Street;(29.697405, -91.302669, 0.0)
204;1308 Main Street;(29.697772, -91.302778, 0.0)
205;37546 Pine Street Extension;(30.368519, -89.773218, 0.0)
206;West LA Hwy 82 & State Route 82;(29.844704, -92.175155, 0.0)
207;Laos;(18.0, 105.0, 0.0)
208;Laos;(19.43535, 102.560667, 0.0)
209;Bahnhofstrasse 13;(46.820153, 9.710871, 0.0)
210;354 Three Pine Church Road;(30.854716, -93.209574, 0.0)
211;35 Purser Street;(31.33039, -92.417923, 0.0)
212;35 Purser Street;(31.33039, -92.417923, 0.0)
213;18370 Hwy. 10;(30.890497, -90.873648, 0.0)
214;205 West Palmetto Avenue;(32.90521, -93.702463, 0.0)
215;(/) Hwy 112;(31.110537, -92.646041, 0.0)
216;10941 Hwy 112;(30.936734, -92.768008, 0.0)
217;10016 Hwy 112;(30.995245, -92.731126, 0.0)
218;Meriam Street & Mulberry Street;(30.281085, -91.246624, 0.0)
219;Montegut - Pointe Aux Chenes Fire Department;(29.481378, -90.554312, 0.0)
220;8874 La Hwy 418;(30.87774, -91.678006, 0.0)
221;201 NW Railroad Avenue;(30.505351, -90.46231, 0.0)
222;Laos;(18.0, 105.0, 0.0)
223;Laos;(18.0, 105.0, 0.0)
224;Laos;(18.0, 105.0, 0.0)
225;280 H Hwy 93 Highway 93;(49.24373, -115.114335, 0.0)
226;17183 Hwy 929;(30.318458, -90.939507, 0.0)
227;75174 Hwy 1083;(30.533027, -90.006492, 0.0)
228;101 3rd Street;(29.976084, -90.272454, 0.0)
229;105 Firehouse Lane;(30.060445, -90.562142, 0.0)
230;201 West South Street;(37.542805, -94.707437, 0.0)
231;;
232;Highway 77 & South Highway 77;(32.372666, -96.854995, 0.0)
233;Laos;(19.43535, 102.560667, 0.0)
234;1529 West Park Avenue;(29.739055, -90.804796, 0.0)
235;13398 Roddy Road;(30.265357, -90.904059, 0.0)
236;801 Crockett Street;(28.43959, -99.242997, 0.0)
237;801 Crockett Street;(28.43959, -99.242997, 0.0)
238;117 SE 4th Avenue;(32.534653, -93.295368, 0.0)
239;388 Mission Drive;(38.141097, -105.459626, 0.0)
240;9080 North Us Hwy 27;(29.230542, -82.268219, 0.0)
241;8096 Main Street;(30.184534, -90.859624, 0.0)
242;510 East Boston Street;(30.475962, -90.095444, 0.0)
