name;latitude;longitude
Eunice Fire Dep,100 Park Ave, Eunice, 7053, LA;30.495152;-92.383845
Ferriday Fire Dep,112 Tennessee Ave, Ferriday, 7133, LA;31.633944;-91.551479
Fields Fire Towe,4697 Highway 109, De Quincy, 7063, LA;30.447136;-93.435693
Fields Fire Towe,4697 Highway 109, Dequincy, 7063, LA;30.447136;-93.435693
Fire Chief's Offic,200 Arkansas Ave, Bogalusa, 7042, LA;30.786566;-89.860683
Fire Department Of Morgan Cit,1307 Victor Ii Blvd, Morgan City, 7038, LA;29.66253;-91.12144
Fire Department Ward ,2815 Foreman Rd, Vinton, 7066, LA;30.183259;-93.608139
Fire Department,1306 Main St, Elton, 7053, LA;30.481385;-92.686703
Fire department,PO Box 26, Jena, 7134, LA;31.108511;-92.727329
Fire Dep,1357 S Union St, Opelousas, 7057, LA;30.53389;-92.080846
Fire Dep,62438 Commercial St, Roseland, 7045, LA;30.757321;-90.510989
Fire District ,1007 S Spruce St, Vivian, 7108, LA;32.871071;-93.988616
Fire District No 1,115 Northpark Blvd, Covington, 7043, LA;30.4411;-90.09538
Fire Distric,110 S Main St, Springhill, 7107, LA;33.002182;-93.461247
Fire Inspectors Offic,225 Prairie Ave, New Iberia, 7056, LA;30.00354;-91.81873
Fire Olla Voluntee,Highway 165, Olla, 7146, LA;31.901027;-92.229599
Fort Polk Fire Dep,2100 LA Ave Bldg 1736, Fort Polk, 7145, LA;31.603378;-91.536622
Franklinton Fire Dep,803 Pearl St, Franklinton, 7043, LA;30.975657;-89.95433
Franklinton Volunteer Fir,41280 Highway 10, Franklinton, 7043, LA;30.854067;-90.159585
French Settlement Voluntee,15160 La Highway 16, French Settlemnt, 7073, LA;30.283163;-90.78688
Galvez Lake Fire Station ,16573 Highway 931, Prairieville, 7076, LA;30.324905;-90.853882
Garyville Fire Dep,418 Historic West St, Garyville, 7005, LA;29.93462;-90.364235
Geismar Fire Dep,12171 Highway 73, Geismar, 7073, LA;30.222275;-91.003849
Gibson East Fire Dep,116 Moss St, Gibson, 7035, LA;29.394138;-90.270125
Gibson Fire Dep,116 Moss St, Gibson, 7035, LA;29.394138;-90.270125
Golden Meadow Volunteer Fir,17462 W Main St, Cut Off, 7034, LA;29.56719;-90.371528
Golden Meadow Volunteer Fir,17462 W Main St, Galliano, 7035, LA;29.56719;-90.371528
Gonzales Fire Dep,325 E Caldwell St, Gonzales, 7073, LA;30.235809;-90.917709
Goodbee Fire Dep,13053 Highway 190, Covington, 7043, LA;30.475434;-90.100749
Goodbee Fire Distric,13027 Highway 190, Covington, 7043, LA;30.475434;-90.100749
Gordon Fire Towe,4336 Edgerly Rd, De Quincy, 7063, LA;30.447136;-93.435693
Gordon Fire Towe,4336 Edgerly Rd, Dequincy, 7063, LA;30.447136;-93.435693
Gould Volunteer Fire C,700 Gretna Blvd, Gretna, 7005, LA;29.911243;-90.044868
Gramercy Volunteer Fire Dep,407 River Rd, Gramercy, 7005, LA;30.076045;-90.528281
Grand Caillou Volunteer Fir,4717 Grand Caillou Rd, Houma, 7036, LA;29.621931;-90.751815
Grand Caillou Volunteer Fir,6974 Grand Caillou Rd, Dulac, 7035, LA;29.42052;-90.699389
Grand Chenier Fire Dep,4011 Grand Chenier Hwy, Grand Chenier, 7064, LA;29.42052;-90.699389
Grand Coteau Fire Dep,442 E Martin Luther King Dr, Sunset, 7058, LA;30.407289;-92.069705
Greensburg Fire Dep,Highway 37, Greensburg, 7044, LA;30.821154;-90.667471
Greensburg Volunteer Fire Dep,13775 Highway 37, Greensburg, 7044, LA;30.821154;-90.667471
Gretna City Fire Dep,501 Anson St, Gretna, 7005, LA;29.909446;-90.045028
