;name;latitude;longitude;y;x
48;Cottonport Fire Dep,307 Choupique Ln, Cottonport, 7132, LA;30.984909;-92.054189;3443631.8013509996;-10230810.511271
49;Covington Fire Dep,525 N Jefferson Ave, Covington, 7043, LA;30.49915;-90.089506;3389645.03185;-10012457.607334
50;Crowley City Fire Dep,104 W Hutchinson Ave, Crowley, 7052, LA;30.324765;-92.406964;3370264.057335;-10270017.571996
51;Cut Off Volunteer Fire Dep,17462 W Main St, Cut Off, 7034, LA;29.56719;-90.371528;3286067.92941;-10043801.250392
52;De Quincy Fire Dep,300 N Holly St, De Quincy, 7063, LA;30.447913;-93.434017;3383950.602907;-10384163.215363
53;Delcambre Fire Dep,302 N Railroad St, Delcambre, 7052, LA;29.953407;-91.989337;3328991.7005729997;-10223602.924843
54;Denham Springs Fire Dep,1106 Hatchell Ln, Denham Springs, 7072, LA;30.4874;-90.95753;3388339.1486;-10108928.92667
55;Des Allemands Volunteer Fir,107 Dejean St, Des Allemands, 7003, LA;30.4874;-90.95753;3388339.1486;-10108928.92667
56;District 13 Fire Dep,18838 W La Highway 82, Abbeville, 7051, LA;29.9743;-92.13557;3331313.7277;-10239855.11423
57;District Six Fire Dep,7878 Prescott Rd, Baton Rouge, 7081, LA;30.455727;-91.184696;3384819.043053;-10134175.928744
58;Donaldsonville Fire Dep,700 Lafourche St, Donaldsonville, 7034, LA;30.107274;-90.989451;3346092.325086;-10112476.594689
59;Donner-Chacahoula Fire Dep,1801 Highway 20, Schriever, 7039, LA;29.74215;-90.81037;3305512.8088499997;-10092573.71143
60;Duson Fire Dep,1st St, Duson, 7052, LA;30.235885;-92.182553;3360386.023015;-10245076.757867
61;East St Charles Parish Fir,1901 Ormond Blvd, Destrehan, 7004, LA;29.969156;-90.371268;3330742.028684;-10043772.354252
62;Eden-Fellowship Volunteer Fir,Highway 774, Trout, 7137, LA;31.584931;-91.495393;3510317.6464090003;-10168706.482627
63;Eight Ward Volunteer Fire Dep,42382 Highway 445, Ponchatoula, 7045, LA;30.458202;-90.314195;3385094.112078;-10037429.318105
64;Elizabeth Fire Dep,230 Poplar St, Elizabeth, 7063, LA;30.458202;-90.314195;3385094.112078;-10037429.318105
65;Estherwood Fire Departmen,351 Douglas St, Estherwood, 7053, LA;30.188139;-92.459901;3355079.580321;-10275900.937239
66;Eunice Fire Dep,100 Park Ave, Eunice, 7053, LA;30.495152;-92.383845;3389200.698128;-10267448.149455
67;Ferriday Fire Dep,112 Tennessee Ave, Ferriday, 7133, LA;31.633944;-91.551479;3515764.902216;-10174939.824581001
