;name;latitude;longitude;y;x
47;Coteau Volunteer Fire Dep,4715 Highway 88, New Iberia, 7056, LA;30.053991;-91.895974;3345610.27812;-8854450.459692
48;Cottonport Fire Dep,307 Choupique Ln, Cottonport, 7132, LA;30.984909;-92.054189;3449240.06988;-8785144.156289695
49;Covington Fire Dep,525 N Jefferson Ave, Covington, 7043, LA;30.49915;-90.089506;3395165.378;-8641107.725862196
50;Crowley City Fire Dep,104 W Hutchinson Ave, Crowley, 7052, LA;30.324765;-92.406964;3375752.8397999997;-8879239.939968301
51;Cut Off Volunteer Fire Dep,17462 W Main St, Cut Off, 7034, LA;29.56719;-90.371528;3291419.5908;-8750057.2375122
52;De Quincy Fire Dep,300 N Holly St, De Quincy, 7063, LA;30.447913;-93.434017;3389461.67516;-8966619.904530954
53;Delcambre Fire Dep,302 N Railroad St, Delcambre, 7052, LA;29.953407;-91.989337;3334413.26724;-8872435.716114696
54;Denham Springs Fire Dep,1106 Hatchell Ln, Denham Springs, 7072, LA;30.4874;-90.95753;3393857.3680000002;-8725419.588752767
55;Des Allemands Volunteer Fir,107 Dejean St, Des Allemands, 7003, LA;30.4874;-90.95753;3393857.3680000002;-8725419.588752767
56;District 13 Fire Dep,18838 W La Highway 82, Abbeville, 7051, LA;29.9743;-92.13557;3336739.076;-8884672.013517685
57;District Six Fire Dep,7878 Prescott Rd, Baton Rouge, 7081, LA;30.455727;-91.184696;3390331.52964;-8750056.80706809
58;Donaldsonville Fire Dep,700 Lafourche St, Donaldsonville, 7034, LA;30.107274;-90.989451;3351541.74168;-8762383.043881897
59;Donner-Chacahoula Fire Dep,1801 Highway 20, Schriever, 7039, LA;29.74215;-90.81037;3310896.138;-8777274.21743709
60;Duson Fire Dep,1st St, Duson, 7052, LA;30.235885;-92.182553;3365858.7182;-8865703.2239285
61;East St Charles Parish Fir,1901 Ormond Blvd, Destrehan, 7004, LA;29.969156;-90.371268;3336166.4459200003;-8714990.834498595
62;Eden-Fellowship Volunteer Fir,Highway 774, Trout, 7137, LA;31.584931;-91.495393;3516034.51892;-8676426.394893227
63;Eight Ward Volunteer Fire Dep,42382 Highway 445, Ponchatoula, 7045, LA;30.458202;-90.314195;3390607.04664;-8666303.647646151
64;Elizabeth Fire Dep,230 Poplar St, Elizabeth, 7063, LA;30.458202;-90.314195;3390607.04664;-8666303.647646151
65;Estherwood Fire Departmen,351 Douglas St, Estherwood, 7053, LA;30.188139;-92.459901;3360543.63348;-8896693.296607237
66;Eunice Fire Dep,100 Park Ave, Eunice, 7053, LA;30.495152;-92.383845;3394720.32064;-8861537.833530111
67;Ferriday Fire Dep,112 Tennessee Ave, Ferriday, 7133, LA;31.633944;-91.551479;3521490.64608;-8677175.56207751
68;Fields Fire Towe,4697 Highway 109, De Quincy, 7063, LA;30.447136;-93.435693;3389375.1795200002;-8966852.224348977
69;Fields Fire Towe,4697 Highway 109, Dequincy, 7063, LA;30.447136;-93.435693;3389375.1795200002;-8966852.224348977
70;Fire Chief's Offic,200 Arkansas Ave, Bogalusa, 7042, LA;30.786566;-89.860683;3427160.52712;-8593583.850930966
71;Fire Department Of Morgan Cit,1307 Victor Ii Blvd, Morgan City, 7038, LA;29.66253;-91.12144;3302032.8396;-8814325.089675466
72;Fire Department Ward ,2815 Foreman Rd, Vinton, 7066, LA;30.183259;-93.608139;3360000.39188;-9007625.513443563
73;Fire Department,1306 Main St, Elton, 7053, LA;30.481385;-92.686703;3393187.7782;-8891846.066357754
74;Fire department,PO Box 26, Jena, 7134, LA;31.108511;-92.727329;3462999.44452;-8837900.491641603
75;Fire Dep,1357 S Union St, Opelousas, 7057, LA;30.53389;-92.080846;3399032.6348;-8828954.97949297
76;Fire Dep,62438 Commercial St, Roseland, 7045, LA;30.757321;-90.510989;3423904.97372;-8658405.290679634
77;Fire District ,1007 S Spruce St, Vivian, 7108, LA;32.871071;-93.988616;3659207.62372;-8787609.88336013
78;Fire District No 1,115 Northpark Blvd, Covington, 7043, LA;30.4411;-90.09538;3388703.252;-8646823.87124628
79;Fire Distric,110 S Main St, Springhill, 7107, LA;33.002182;-93.461247;3673802.90024;-8725358.15284413
80;Fire Inspectors Offic,225 Prairie Ave, New Iberia, 7056, LA;30.00354;-91.81873;3339994.0728;-8851511.754977398
81;Fire Olla Voluntee,Highway 165, Olla, 7146, LA;31.901027;-92.229599;3551222.32564;-8716250.684331374
82;Fort Polk Fire Dep,2100 LA Ave Bldg 1736, Fort Polk, 7145, LA;31.603378;-91.536622;3518088.03896;-8678617.338744165
83;Franklinton Fire Dep,803 Pearl St, Franklinton, 7043, LA;30.975657;-89.95433;3448210.13724;-8585577.525230449
84;Franklinton Volunteer Fir,41280 Highway 10, Franklinton, 7043, LA;30.854067;-90.159585;3434674.73844;-8616110.456496911
85;French Settlement Voluntee,15160 La Highway 16, French Settlemnt, 7073, LA;30.283163;-90.78688;3371121.70516;-8727271.344676102
86;Galvez Lake Fire Station ,16573 Highway 931, Prairieville, 7076, LA;30.324905;-90.853882;3375768.4246;-8729994.254000077
87;Garyville Fire Dep,418 Historic West St, Garyville, 7005, LA;29.93462;-90.364235;3332321.8984;-8717339.899231495
88;Geismar Fire Dep,12171 Highway 73, Geismar, 7073, LA;30.222275;-91.003849;3364343.653;-8753552.294465207
89;Gibson East Fire Dep,116 Moss St, Gibson, 7035, LA;29.394138;-90.270125;3272155.44216;-8755175.568844885
90;Gibson Fire Dep,116 Moss St, Gibson, 7035, LA;29.394138;-90.270125;3272155.44216;-8755175.568844885
91;Golden Meadow Volunteer Fir,17462 W Main St, Cut Off, 7034, LA;29.56719;-90.371528;3291419.5908;-8750057.2375122
92;Golden Meadow Volunteer Fir,17462 W Main St, Galliano, 7035, LA;29.56719;-90.371528;3291419.5908;-8750057.2375122
93;Gonzales Fire Dep,325 E Caldwell St, Gonzales, 7073, LA;30.235809;-90.917709;3365850.25788;-8744062.97870484
94;Goodbee Fire Dep,13053 Highway 190, Covington, 7043, LA;30.475434;-90.100749;3392525.31288;-8644292.435847737
95;Goodbee Fire Distric,13027 Highway 190, Covington, 7043, LA;30.475434;-90.100749;3392525.31288;-8644292.435847737
96;Gordon Fire Towe,4336 Edgerly Rd, De Quincy, 7063, LA;30.447136;-93.435693;3389375.1795200002;-8966852.224348977
97;Gordon Fire Towe,4336 Edgerly Rd, Dequincy, 7063, LA;30.447136;-93.435693;3389375.1795200002;-8966852.224348977
